 Element ID, Tensor(Element Stresses (2D & 3D)),
57543,1.207E-02 -3.542E-01 -4.998E-02 1.836E-01 1.387E-03 -2.496E-02 ,
57542,3.555E-01 3.802E-02 3.938E-02 7.617E-02 5.127E-03 3.711E-03 ,
57541,3.135E-01 1.004E-01 -8.016E-03 2.871E-01 2.195E-02 -1.407E-03 ,
57540,-8.778E-02 2.916E-01 4.006E-02 3.509E-01 -1.262E-02 1.691E-02 ,
57539,3.356E-01 3.220E-01 4.328E-02 4.182E-01 2.256E-02 2.607E-03 ,
57538,7.783E-01 -3.924E-01 2.497E-01 2.457E-01 -1.176E-02 4.999E-02 ,
57537,3.012E-02 4.209E-02 3.363E-02 1.472E-01 9.166E-03 7.535E-03 ,
57536,2.783E-01 -3.620E-01 3.612E-02 -1.322E-02 -2.356E-02 4.608E-02 ,
57535,4.121E-01 4.603E-02 -1.682E-03 3.100E-01 1.713E-02 -3.364E-03 ,
57534,-2.733E-01 4.350E-02 -9.821E-02 1.126E-01 8.053E-04 -1.123E-02 ,
57533,-2.267E-01 -2.156E-01 -1.011E-01 -3.489E-01 7.181E-03 1.721E-03 ,
57532,5.747E-01 3.747E-01 8.918E-02 3.945E-01 2.243E-02 2.541E-02 ,
57531,-5.041E-01 1.805E-01 -6.944E-02 2.984E-01 3.004E-02 5.192E-02 ,
57530,6.067E-01 -2.333E-01 2.885E-02 1.490E-01 7.143E-03 5.813E-02 ,
57529,3.518E-01 1.315E-01 -7.812E-03 2.412E-01 8.984E-03 -7.246E-03 ,
57528,-1.458E-01 -1.304E-01 -9.336E-02 1.539E-01 -6.958E-03 8.296E-03 ,
