 Node ID, Tensor(Element Stresses (2D & 3D)),
256,4.727E+00 5.628E+01 1.695E+00 -3.145E-01 -6.410E+00 8.092E-01 ,
257,8.567E-01 3.990E+01 1.653E+00 -1.716E+00 -5.725E+00 4.222E-01 ,
258,2.613E+00 4.477E+01 1.731E+00 -1.320E+00 -5.587E+00 7.423E-02 ,
259,7.153E-01 3.348E+01 1.505E+00 -1.919E+00 -4.076E+00 -3.380E-01 ,
260,1.959E+00 3.629E+01 1.795E+00 -1.663E+00 -4.155E+00 -1.769E-01 ,
261,-1.486E-01 2.559E+01 5.376E-01 -1.913E+00 -4.070E+00 1.491E-01 ,
262,3.278E-01 2.217E+01 1.014E+00 -1.964E+00 -3.023E+00 -5.829E-02 ,
263,1.674E-01 1.731E+01 3.512E-01 -1.955E+00 -2.544E+00 5.837E-02 ,
264,-4.456E-02 1.425E+01 1.580E-01 -2.195E+00 -2.135E+00 1.419E-01 ,
265,-3.445E-01 1.128E+01 7.536E-02 -1.843E+00 -2.140E+00 1.293E-02 ,
266,-7.331E-01 7.086E+00 8.716E-02 -1.539E+00 -1.520E+00 -1.913E-02 ,
267,8.953E-01 2.942E+01 1.034E+00 -1.768E+00 -3.355E+00 1.563E-01 ,
268,2.602E-01 2.364E+01 5.860E-01 -1.949E+00 -3.303E+00 2.614E-01 ,
269,4.258E-01 1.931E+01 5.979E-01 -1.983E+00 -2.767E+00 1.843E-01 ,
270,-2.948E-01 1.600E+01 2.372E-01 -2.194E+00 -2.337E+00 2.466E-01 ,
271,-4.894E-01 1.227E+01 2.669E-01 -1.878E+00 -1.981E+00 1.351E-01 ,
272,-6.219E-01 8.953E+00 1.570E-01 -1.540E+00 -1.648E+00 -3.477E-03 ,
273,-4.744E-01 5.116E+00 2.785E-01 -1.166E+00 -1.551E+00 3.287E-02 ,
274,-6.607E-01 6.046E+00 6.323E-02 -1.374E+00 -1.485E+00 -3.234E-02 ,
275,-5.795E-01 3.048E+00 1.028E-01 -9.606E-01 -1.227E+00 6.445E-02 ,
276,-7.486E-01 3.870E+00 8.228E-02 -1.146E+00 -1.243E+00 9.790E-02 ,
277,1.559E+01 7.028E+01 3.362E+00 1.635E+00 -1.192E+01 -1.353E-02 ,
278,-4.944E-01 1.676E+00 3.075E-02 -7.648E-01 -9.169E-01 1.094E-02 ,
