 Element ID, Tensor(Element Stresses (2D & 3D)),
221,2.140E+00 3.322E+00 3.370E+00 3.314E+00 3.729E-01 3.683E+00 ,
222,-2.180E+00 -2.292E+00 -1.267E+00 -2.977E+00 1.018E+00 -3.725E+00 ,
223,-9.862E+00 1.363E+01 6.835E-01 2.336E+00 2.113E+01 1.991E+00 ,
224,1.425E+01 -1.072E+00 -1.020E+01 5.942E-01 5.220E-01 -9.531E+00 ,
225,-1.577E-01 -6.818E-02 -7.726E-02 -5.850E-02 -4.942E-01 -3.898E-03 ,
226,1.833E+00 8.283E-02 8.045E-01 -1.399E-01 1.033E+00 1.133E+01 ,
227,2.480E+01 6.353E+00 9.787E+00 -4.865E+00 -4.538E-01 5.726E+00 ,
228,-3.096E+01 -7.803E+00 -3.864E+00 3.310E-01 -8.731E-01 -1.507E-01 ,
229,4.183E+00 -1.075E+00 1.150E+01 -5.407E-01 -2.649E+00 1.228E+01 ,
230,1.122E+01 1.928E+00 6.179E+00 -2.137E+00 3.372E-01 1.345E+01 ,
231,-9.333E-01 3.985E+00 4.262E+00 -7.999E-01 9.392E-01 -1.459E+00 ,
232,4.424E+00 5.818E+00 1.392E+01 4.575E-01 -2.207E+00 9.814E+00 ,
233,-2.143E+00 -2.221E+00 -1.655E+00 4.986E-02 -1.971E+00 6.479E+00 ,
234,5.367E+00 2.840E+00 1.211E+01 2.434E-01 -1.075E+00 5.206E+00 ,
235,2.050E+00 1.448E-01 7.219E+00 -5.752E-01 -5.587E-01 1.342E+01 ,
236,-8.617E-02 -1.071E+00 4.554E+00 3.563E-01 -3.212E-01 -1.143E+01 ,
237,-1.049E+00 -6.319E+00 -4.918E+00 3.133E+00 1.792E-01 -5.143E+00 ,
238,7.949E-01 2.527E+00 2.857E+00 -2.912E-01 -2.098E-01 -1.329E+01 ,
239,-1.524E+01 1.047E+00 7.525E+00 -4.488E-02 3.183E-01 -1.129E+00 ,
240,1.317E+01 6.251E+00 2.190E+01 -1.262E+00 -2.177E+00 1.158E+01 ,
241,-2.247E+00 1.556E+00 2.371E+00 1.192E+00 3.648E-01 9.963E+00 ,
242,-1.465E+01 -6.981E+00 1.639E+00 -2.766E-01 4.429E-01 -4.933E+00 ,
243,-1.332E+00 -3.984E-01 1.531E+00 -6.151E-01 1.602E+00 4.938E+00 ,
244,-3.949E+00 7.590E+00 7.453E+00 -1.070E+00 8.113E-01 2.840E+00 ,
245,-8.706E+00 -5.302E+00 -2.831E+00 5.916E-01 1.210E+00 2.571E+00 ,
246,-1.080E+01 -1.041E+01 -5.025E+00 -2.376E-01 1.702E-02 4.787E+00 ,
247,1.707E-02 -1.770E-01 2.842E-01 3.384E-01 8.335E-01 -4.738E-01 ,
248,2.080E+00 -2.074E+00 4.789E+00 -1.131E-01 -9.020E-01 1.927E+00 ,
249,-1.857E+01 -5.552E+00 -1.670E+00 1.740E+00 3.810E-01 2.330E+00 ,
250,1.255E+01 -8.968E-01 1.371E+01 9.155E-01 -1.232E+00 1.823E+00 ,
251,-9.928E+00 -2.966E+00 -2.204E+00 3.163E+00 3.414E-01 -4.020E+00 ,
252,1.999E+01 9.194E+00 5.122E+00 1.763E+00 1.307E+00 -3.390E-01 ,
253,5.881E+00 2.055E+00 8.213E+00 -4.130E-01 1.070E-01 -1.331E+01 ,
254,2.899E+00 1.942E-01 2.474E+01 2.920E-01 -1.222E+00 -8.809E-01 ,
255,2.038E+01 3.991E+00 2.288E+00 -1.528E-01 -3.512E-01 8.257E+00 ,
256,4.354E+00 2.868E-02 9.758E+00 1.226E-01 -1.168E+00 5.467E+00 ,
257,8.234E+00 -4.648E+00 1.209E+01 -2.491E-01 -1.798E-01 4.681E+00 ,
258,6.402E-01 4.850E-01 3.807E-01 2.172E-01 -1.159E+00 -1.696E+00 ,
259,1.023E+01 3.417E+00 1.280E+01 2.161E-01 -3.361E-01 2.710E+00 ,
260,-1.171E+01 -1.038E+01 -9.937E+00 1.494E+00 -6.475E-01 8.303E+00 ,
261,1.404E+00 8.336E-01 5.659E-01 1.025E-02 -4.791E-02 -3.544E-01 ,
262,3.884E+00 2.935E+00 2.111E+00 -1.198E+00 3.798E-01 2.597E+00 ,
263,2.782E+00 1.193E+00 3.866E+01 -1.825E-01 -1.318E+00 8.299E-01 ,
264,2.499E+00 -1.775E-01 4.335E+00 4.710E-01 -8.035E-01 2.141E+00 ,
265,6.529E-04 9.012E-01 -8.949E-02 -2.719E-01 5.216E-02 1.894E-02 ,
266,5.525E+00 -1.275E+00 3.642E+00 -3.121E-01 -4.130E-01 -3.860E-01 ,
267,2.131E-01 2.794E-03 2.099E-01 6.582E-02 2.510E-01 3.304E-02 ,
268,8.042E+00 3.982E-01 -1.112E+00 9.411E-01 -7.430E-01 -2.842E+00 ,
269,9.990E+00 -4.060E+00 -2.476E+00 -7.801E-01 1.959E-01 -1.280E+01 ,
270,7.124E+00 1.609E+00 8.074E+00 -4.197E-02 -1.345E+00 2.835E+00 ,
271,1.271E+01 1.875E+00 9.931E+00 -2.281E-01 1.019E+00 7.200E-01 ,
272,1.324E+01 4.195E+00 9.635E+00 3.556E-01 -2.698E-01 6.885E-01 ,
273,1.359E+01 -1.457E+00 1.475E+01 1.056E+00 -4.041E-01 -3.817E+00 ,
274,2.932E+00 -3.769E+00 1.064E+00 5.745E-01 -1.261E+00 1.530E+00 ,
275,8.538E+00 5.965E+00 4.982E+01 -1.874E+00 1.801E+01 -3.483E+00 ,
276,-1.495E+01 6.602E-01 2.473E+00 3.436E-01 3.210E-02 1.546E+00 ,
277,1.338E+01 -1.883E+00 7.711E+00 2.524E+00 3.135E-01 3.908E+00 ,
278,2.599E+01 1.241E+01 2.615E+01 7.872E-01 2.256E+00 8.013E+00 ,
279,-4.857E-01 -1.374E+00 3.147E+01 7.318E-01 -3.141E+00 -2.537E-01 ,
