 Element ID, Tensor(Element Stresses (2D & 3D)),
13166,3.307E-01 5.286E-01 6.109E-02 -1.031E-01 -2.060E-01 2.502E-02 ,
13165,-1.128E-01 -8.955E-02 -3.918E-01 3.208E-02 1.419E-01 -1.875E-01 ,
13164,2.915E-01 1.017E+00 1.904E-01 -1.626E-01 -4.374E-01 2.260E-02 ,
13163,-5.740E-02 -1.019E-01 -1.690E-01 -2.521E-02 1.193E-01 -9.822E-02 ,
13162,7.010E-01 1.506E+00 8.640E-01 -2.992E-01 -1.231E-01 -1.936E-02 ,
13161,-1.350E+00 -1.588E+00 -1.828E+00 2.347E-01 3.601E-01 -2.524E-01 ,
13160,-1.056E-02 1.700E+00 5.093E-01 -2.745E-01 5.879E-01 2.239E-01 ,
13159,7.401E-01 1.382E+00 7.408E-01 1.372E-01 -4.484E-02 7.692E-03 ,
13158,4.753E-02 3.963E-01 8.869E-02 1.072E-01 -1.408E-01 1.780E-02 ,
13157,-1.058E-01 2.534E-01 -2.408E-01 3.962E-01 2.374E-01 1.056E-01 ,
13156,1.597E-01 5.354E-01 1.163E-01 -2.159E-01 -3.028E-01 4.829E-02 ,
13155,-7.990E-01 -8.208E-01 -1.356E-01 -3.848E-02 -1.636E-01 -1.657E-01 ,
13154,1.214E+00 1.024E+00 1.038E+00 2.079E-01 5.595E-01 1.414E-01 ,
13153,-5.047E-02 -9.510E-02 -1.178E-02 1.508E-01 -3.106E-01 -1.678E-02 ,
13152,1.039E+00 1.983E+00 9.422E-01 2.192E-01 3.733E-01 1.367E-02 ,
13151,-3.013E-01 3.074E-01 -2.504E-01 1.927E-01 1.835E-01 3.941E-03 ,
13150,-6.348E-01 4.165E-01 -2.708E-01 5.794E-02 3.057E-01 -5.407E-02 ,
13149,4.924E-02 1.054E+00 4.153E-01 -1.356E-02 -6.515E-01 -1.065E-01 ,
13148,5.234E-02 4.801E-02 6.055E-02 -2.083E-01 -1.832E-01 3.997E-02 ,
13147,-3.837E-01 3.910E-01 -4.935E-01 5.780E-02 -1.635E-01 -3.983E-02 ,
13146,5.737E-01 2.642E-01 1.095E-01 6.008E-01 -4.811E-02 4.203E-02 ,
13145,-1.984E-01 -1.012E+00 3.575E-01 -2.097E-01 3.965E-01 1.014E-01 ,
13144,5.092E-01 4.439E-01 4.637E-01 6.064E-01 8.183E-01 1.125E-01 ,
13143,1.850E+00 9.672E-01 9.978E-01 -5.539E-01 -7.410E-02 -9.435E-02 ,
13142,-6.267E-01 -3.944E-01 -6.703E-01 3.083E-01 -8.755E-02 -3.062E-02 ,
13141,-4.300E-01 -7.555E-02 -4.908E-01 -3.006E-01 -2.054E-01 7.532E-02 ,
13140,4.865E-01 5.647E-01 1.701E-01 -9.645E-01 2.089E-01 -2.428E-01 ,
13139,3.592E-01 2.782E-01 2.538E-02 -9.162E-02 2.822E-01 -1.835E-03 ,
13138,1.697E-01 3.360E-02 -1.419E-01 -7.861E-02 2.248E-01 -3.413E-02 ,
13137,-1.056E-02 1.147E+00 -1.027E-01 -7.152E-02 3.961E-01 8.324E-03 ,
13136,-2.511E-03 1.990E-01 -1.755E-01 -1.058E-01 1.926E-01 9.652E-03 ,
13135,9.598E-01 7.257E-01 4.876E-01 3.455E-02 1.746E-01 -9.111E-02 ,
13134,4.267E-01 1.166E+00 6.054E-01 -2.819E-01 -6.362E-02 -2.735E-02 ,
13133,1.131E-01 5.645E-01 3.100E-02 -1.375E-01 -1.197E-02 2.424E-02 ,
13132,1.032E-01 1.093E+00 2.476E-01 -3.458E-02 -5.506E-01 2.756E-02 ,
13131,-1.814E-01 -1.461E-02 -1.098E-01 -4.952E-02 1.111E-01 -3.095E-02 ,
13130,3.639E-01 2.693E-01 2.345E-01 8.656E-02 2.758E-02 6.113E-02 ,
13129,-9.678E-02 -4.714E-02 -1.945E-01 8.061E-02 2.969E-02 5.434E-02 ,
