 Element ID, Tensor(Element Stresses (2D & 3D)),
232,-2.155E-01 -2.595E-01 1.187E+00 -1.132E-02 3.929E-02 -4.011E-02 ,
233,-2.277E-01 4.171E-02 7.055E-02 -2.751E-03 -6.718E-03 1.485E-02 ,
234,-2.164E-01 -1.825E-01 -1.428E-01 2.215E-02 -4.041E-03 -1.503E-01 ,
235,-3.649E-02 -3.993E-03 -4.598E-02 4.708E-03 -3.781E-03 1.289E-01 ,
236,7.606E-01 8.626E-01 1.173E+00 -3.124E-02 1.257E-01 2.358E-01 ,
237,-2.980E-01 -2.571E-01 -2.733E-01 3.490E-02 1.811E-03 -1.574E-01 ,
238,-1.984E-01 -1.357E-01 -1.159E-01 5.483E-02 -3.639E-03 9.578E-02 ,
239,3.284E-02 2.267E-02 1.018E-01 2.215E-02 9.967E-03 2.804E-01 ,
240,3.055E-02 6.947E-02 2.148E-01 -3.205E-03 3.571E-04 2.257E-01 ,
241,-3.320E-01 -3.229E-01 -2.726E+00 4.027E-02 -8.501E-03 -7.557E-02 ,
242,2.006E-01 1.598E-01 6.223E-01 3.057E-03 -3.871E-03 2.028E-01 ,
243,-4.109E-02 4.788E-02 8.429E-02 3.170E-02 3.081E-02 8.214E-03 ,
244,-1.848E-02 -1.716E-03 1.497E-03 -1.131E-03 1.923E-03 2.480E-03 ,
245,6.990E-03 4.831E-03 -7.241E-01 1.421E-02 -7.314E-03 -2.098E-02 ,
246,7.522E-04 2.086E-02 5.558E-01 2.388E-02 -5.766E-04 1.766E-01 ,
247,2.758E-02 8.633E-03 1.568E-02 6.152E-04 1.658E-03 -2.138E-02 ,
248,-4.213E-01 -1.980E-01 4.184E-01 -3.984E-02 3.156E-01 3.897E-02 ,
249,-9.699E-04 -7.701E-03 -8.238E-03 3.921E-05 -2.401E-04 3.454E-03 ,
250,1.176E-01 -2.390E-01 -6.865E-01 1.279E-01 3.445E-01 4.214E-03 ,
251,1.371E-03 -1.210E-03 -2.678E-03 1.718E-03 1.739E-03 3.700E-04 ,
252,2.337E-02 -1.071E-03 -6.727E-02 7.058E-02 8.575E-02 7.974E-02 ,
253,-1.582E-01 -1.844E-01 -2.412E-01 1.976E-03 8.204E-02 1.716E-01 ,
254,4.308E-02 5.916E-02 7.926E-01 -1.424E-02 -5.949E-03 6.650E-02 ,
255,-3.609E-03 1.640E-02 3.961E-02 -1.620E-03 3.185E-03 6.742E-03 ,
256,1.370E-01 9.527E-02 3.079E-01 9.710E-02 6.852E-02 5.305E-01 ,
257,-2.154E-01 -2.317E-01 -1.248E+00 5.539E-03 -3.947E-03 -6.443E-02 ,
258,-2.268E-02 -1.767E-02 -1.045E-01 -6.658E-03 -5.173E-03 2.074E-01 ,
259,2.115E-01 2.692E-01 3.749E-01 -8.168E-03 9.282E-02 1.958E-01 ,
260,-2.652E-02 2.100E-02 -8.615E-02 -1.184E-03 1.119E-02 1.977E-01 ,
261,9.348E-03 2.261E-02 4.072E-02 1.885E-04 -1.451E-03 1.195E-02 ,
262,-1.797E-02 2.005E-03 1.656E-02 -1.071E-03 -2.360E-03 6.938E-03 ,
263,6.161E-01 4.913E-01 3.405E-01 1.006E-01 6.929E-03 -1.895E-01 ,
264,-4.612E-02 1.149E-02 -2.984E-02 -3.243E-03 9.090E-03 7.750E-02 ,
265,7.870E-03 3.338E-04 -3.552E-03 1.660E-03 -8.783E-04 8.481E-05 ,
266,-1.554E-02 -3.712E-02 -6.610E-02 5.963E-04 1.605E-03 7.730E-03 ,
267,9.566E-02 6.153E-02 -3.054E-01 3.238E-03 -8.201E-03 1.146E-01 ,
268,-3.403E-03 2.489E-04 -6.318E-02 -3.800E-03 -1.709E-03 1.993E-02 ,
269,9.722E-02 5.786E-03 -3.221E-01 9.590E-02 2.872E-02 9.649E-02 ,
270,6.994E-03 -5.446E-03 -8.786E-03 8.609E-05 -8.618E-04 -4.418E-03 ,
271,4.839E-02 2.511E-02 3.336E-02 -3.461E-03 -7.768E-04 -2.184E-02 ,
272,3.268E-02 -5.730E-04 9.732E-03 -1.110E-02 -9.524E-03 -3.959E-02 ,
273,2.024E-01 3.185E-01 3.947E-01 -8.267E-02 -2.343E-02 5.843E-02 ,
274,-4.967E-01 -5.300E-01 -2.638E+00 4.055E-02 2.869E-02 -1.412E-01 ,
275,2.271E-01 2.430E-01 -7.754E-01 9.218E-02 1.884E-01 3.262E-01 ,
276,-1.171E-01 -1.426E-01 3.677E-01 3.445E-04 8.869E-03 -3.284E-02 ,
277,-4.426E-04 -3.447E-02 -3.017E-01 -4.428E-03 3.267E-03 1.621E-01 ,
